frame_name	left	top	right	bottom

standing_0	5	13	78	95

standing_1	89	17	170	94

standing_2	181	9	260	94

standing_3	273	3	360	94

standing_4	377	9	458	92

standing_5	479	7	562	91

standing_6	580	3	667	89


free_0	10	132	89	217

free_1	97	129	216	215

free_2	222	127	343	215

free_3	344	129	425	215

free_4	437	129	514	215

free_5	527	129	598	215

free_6	611	129	690	215

free_7	701	125	783	215

free_8	799	97	884	215
free_9	891	90	975	215

free_10	989	100	1072	215

free_11	1089	114	1172	215

free_12	1187	127	1268	215

free_13	1281	127	1360	215

free_14	1371	129	1449	215

free_15	5	263	76	350

free_16	87	263	166	350

free_17	174	260	255	350

free_18	268	247	343	350

free_19	360	241	441	350

free_20	456	253	539	348

free_21	550	268	625	348

free_22	640	268	717	348

free_23	724	268	802	348

free_24	815	249	890	348

free_25	905	239	980	348

free_26	995	228	1067	348

free_27	1089	220	1166	348

free_28	1179	247	1262	348

free_29	1277	260	1358	348

free_30	1371	260	1451	348

free_31	1462	261	1539	348


throw_0		12	375	97	467

throw_1		108	370	189	467

throw_2		208	372	283	467

throw_3		312	369	402	467

throw_4		423	372	496	467

throw_5		513	381	591	467


swing_sword_0	8	538	97	622

swing_sword_1	102	521	203	622

swing_sword_2	220	501	308	622

swing_sword_3	376	502	604	622

swing_sword_4	661	535	761	622


lookingup_attack_0	20	671	103	758

lookingup_attack_1	126	660	201	758

lookingup_attack_2	212	658	345	758

lookingup_attack_3	369	663	462	758

lookingup_attack_4	477	668	569	756

lookingup_attack_5	571	677	677	756

lookingup_attack_6	696	641	840	756

lookingup_attack_7	867	617	973	756

lookingup_attack_8	997	641	1094	756

lookingup_attack_9	1120	647	1220	756

lookingup_attack_10	1235	663	1339	756

lookingup_attack_11	1350	668	1441	756


look_up_0	20	793	97	879

look_up_1	113	783	201	879

look_up_2	213	785	308	879


sit_0	393	799	475	879

sit_1	495	813	589	879

sit_2	604	829	710	879

sit_3	724	825	829	883


sit_throw_0	16	913	89	985

sit_throw_1	110	906	184	985

sit_throw_2	204	913	303	991

sit_throw_3	347	918	541	985

sit_throw_4	614	925	725	987


sit_attack_0	16	1023	109	1078

sit_attack_1	122	1026	210	1078

sit_attack_2	257	1021	460	1078

sit_attack_3	478	1016	760	1078

sit_attack_4	789	1021	1029	1079

sit_attack_5	1060	1022	1254	1078

sit_attack_6	1403	1024	1495	1078


jump_left_right_0	18	1127	99	1196

jump_left_right_1	126	1092	214	1215

jump_left_right_2	237	1097	349	1190

jump_left_right_3	381	1116	495	1185

jump_left_right_4	523	1113	642	1191

jump_left_right_5	671	1106	784	1193

jump_left_right_6	803	1100	907	1195

jump_left_right_7	941	1088	1040	1225

jump_left_right_8	1075	1149	1189	1222


jump_up_0	15	1353	130	1423

jump_up_1	143	1324	245	1425

jump_up_2	263	1325	368	1425

jump_up_3	389	1317	495	1430

jump_up_4	515	1311	616	1431

jump_up_5	644	1325	719	1433

jump_up_6	747	1308	817	1436

jump_up_7	859	1292	926	1443

jump_up_8	966	1295	1034	1446

jump_up_9	1082	1298	1149	1449


