frame_name	left	top	right	bottom
Boom_00		21	31	53	47


item_spark__0	8	180	34	204

item_spark__1	48	155	108	204

item_spark__2	120	118	201	204

item_spark__3	208	123	291	204

item_spark__4	304	124	386	204

item_spark__5	400	128	483	204

item_spark__6	496	131	579	204

item_spark__7	8	214	88	284

item_spark__8	96	217	178	284

item_spark__9	192	222	275	284

item_spark__10	288	231	369	284

item_spark__11	376	236	453	284

item_spark__12	464	243	517	284

item_spark__13	529	244	570	282

item_spark__14	584	251	628	284
