frame_name	left	top	right	bottom
jafar_snake_0	8	59	100	117

jafar_snake_1	133	51	209	117

jafar_snake_2	229	42	331	117
jafar_snake_3	353	45	465	117

jafar_snake_4	498	33	610	117

jafar_snake_5	637	33	749	117

jafar_snake_6	775	35	889	117

jafar_snake_7	916	35	1030	117
jafar_snake_8	1060	33	1162	117

jafar_snake_9	1221	35	1285	117

jafar_snake_10	1346	56	1446	117


jafar_00	273	164	341	235

jafar_01	364	165	424	235

jafar_02	448	166	506	235

jafar_03	535	167	589	235

jafar_04	609	166	689	235
jafar_05	727	166	835	235

jafar_06	867	166	987	235
jafar_07	1049	166	1131	235
