frame_name	left	top	right	bottom
explosion_0	0	0	47	52
explosion_1	47	0	94	52
explosion_2	94	0	141	52
explosion_3	141	0	188	52
explosion_4	188	0	235	52
explosion_5	235	0	282	52
explosion_6	282	0	329	52
explosion_7	329	0	376	52
explosion_8	376	0	423	52
explosion_9	423	0	470	52
explosion_10	470	0	517	52
explosion_11	517	0	564	52
explosion_12	564	0	611	52
explosion_13	611	0	658	52
explosion_14	658	0	705	52
explosion_15	705	0	752	52
explosion_16	752	0	799	52
explosion_17	799	0	846	52
explosion_18	846	0	893	52
explosion_19	893	0	940	52
explosion_20	940	0	987	52
explosion_21	987	0	1034	52
explosion_22	1034	0	1081	52
explosion_23	1081	0	1128	52
explosion_24	1128	0	1175	52
explosion_25	1175	0	1222	52
