frame_name	left	top	right	bottom

guard_moving_00	451	9	496	76

guard_moving_01	400	10	445	76

guard_moving_02	343	11	389	76

guard_moving_03	289	11	334	76

guard_moving_04	247	10	284	76

guard_moving_05	196	9	239	76

guard_moving_06	140	9	190	76

guard_moving_07	99	11	135	76


guardsThin_attack_00	452	82	489	156

guardsThin_attack_01	396	96	445	156

guardsThin_attack_02	297	98	389	156

guardsThin_attack_03	209	97	295	156

guardsThin_attack_04	129	96	206	156

guardsThin_attack_05	75	96	116	156


guards_being_attack_00	446	175	490	233

guards_being_attack_01	399	185	439	233

guards_being_attack_02	345	160	384	233

guards_being_attack_03	296	165	337	233

guards_being_attack_04	242	171	288	233

guards_being_attack_05	188	162	230	233

guards_being_attack_06	133	184	180	233

guards_being_attack_07	80	185	120	233

guards_being_attack_08	20	166	65	233


guardsFat_Moving_00	449	255	496	307

guardsFat_Moving_01	391	253	443	307

guardsFat_Moving_02	331	252	387	307

guardsFat_Moving_03	274	253	325	307

guardsFat_Moving_04	219	255	268	307

guardsFat_Moving_05	172	254	214	307

guardsFat_Moving_06	120	251	164	307

guardsFat_Moving_07	69	253	116	307


guardsFat_Near_00	449	317	493	370

guardsFat_Near_01	405	316	442	370

guardsFat_Near_02	346	317	400	370

guardsFat_Near_03	283	317	341	370

guardsFat_Near_04	228	317	277	370

guardsFat_Near_05	176	317	220	370


guardsFat_AttackOne_00	437	378	492	430

guardsFat_AttackOne_01	366	386	433	430

guardsFat_AttackOne_02	288	388	358	430

guardsFat_AttackOne_03	207	387	282	430

guardsFat_AttackOne_04	113	385	201	430

guardsFat_AttackOne_05	8	384	103	430


guardsFat_AttackTwo_00	449	447	492	507

guardsFat_AttackTwo_01	394	434	437	507

guardsFat_AttackTwo_02	330	441	382	507

guardsFat_AttackTwo_03	206	451	320	507

guardsFat_AttackTwo_04	107	434	198	507


guardsFat_beingAttack_00	438	538	492	586

guardsFat_beingAttack_01	364	515	427	586

guardsFat_beingAttack_02	295	529	360	586

guardsFat_beingAttack_03	217	520	288	586

guardsFat_beingAttack_04	134	522	208	586

guardsFat_beingAttack_05	50	530	116	586


guardsFat_burn_00	447	598	488	652

guardsFat_burn_01	396	592	439	652

guardsFat_burn_02	351	593	392	652

guardsFat_burn_03	306	594	344	652

guardsFat_burn_04	259	599	300	652

guardsFat_burn_05	202	593	245	652

guardsFat_burn_06	157	594	199	652

guardsFat_burn_07	110	594	153	652

guardsFat_burn_08	60	601	105	652


guardsShort_throw_00	446	663	489	713

guardsShort_throw_01	414	678	425	703

guardsShort_throw_02	375	686	401	697

guardsShort_throw_03	355	675	368	701

guardsShort_throw_04	319	682	346	702

guardsShort_throw_05	283	677	308	700

guardsShort_throw_06	248	676	273	698

guardsShort_throw_07	224	678	237	700


guardsShort_free_00	459	727	496	771

guardsShort_free_01	413	721	453	771

guardsShort_free_02	370	725	404	771

guardsShort_free_03	317	727	355	771

guardsShort_free_04	257	725	311	771

guardsShort_free_05	199	719	251	771

guardsShort_free_06	150	722	190	771


guardsShort_Moving_00	454	784	491	836

guardsShort_Moving_01	411	786	446	836

guardsShort_Moving_02	368	789	405	836

guardsShort_Moving_03	326	781	365	836

guardsShort_Moving_04	277	776	320	836

guardsShort_Moving_05	226	781	265	836

guardsShort_Moving_06	180	788	217	836

guardsShort_Moving_07	141	785	175	836


guardsShort_attack_00	441	842	496	900

guardsShort_attack_01	394	844	430	900

guardsShort_attack_02	322	850	383	900

guardsShort_attack_03	270	856	316	900

guardsShort_attack_04	229	848	262	900


guardsShort_dying_00	439	919	494	971

guardsShort_dying_01	380	920	435	971

guardsShort_dying_02	319	921	374	971

guardsShort_dying_03	258	921	313	971

guardsShort_dying_04	187	923	252	971

guardsShort_dying_05	107	906	176	971

guardsShort_dying_06	31	910	99	971



