frame_name	left	top	right	bottom
alphabet_0		26	16	33	23

alphabet_1		38	16	45	23

alphabet_2		50	16	57	23

alphabet_3		62	16	69	23

alphabet_4		74	16	81	23

alphabet_5		86	16	93	24

alphabet_6		98	16	105	23

alphabet_7		110	16	117	23

alphabet_8		122	16	125	24

alphabet_9		130	16	134	24

alphabet_10	139	16	146	24

alphabet_11	151	16	158	23

alphabet_12	163	16	170	23

alphabet_13	27	31	34	38

alphabet_14	39	31	46	38

alphabet_15	51	31	58	38

alphabet_16	63	31	70	39

alphabet_17	75	31	82	39

alphabet_18	87	31	93	39

alphabet_19	98	31	104	38

alphabet_20	109	31	116	39

alphabet_21	121	31	128	38

alphabet_22	133	31	140	38
alphabet_23	145	31	152	38

alphabet_24	157	31	164	38

alphabet_25	169	31	175	38
alphabet_26	26	44	33	51

alphabet_27	38	44	41	51

alphabet_28	46	44	51	51

alphabet_29	56	44	60	51

alphabet_30	65	44	71	51

alphabet_31	76	44	81	51

alphabet_32	86	44	92	51

alphabet_33	97	44	102	51

alphabet_34	106	44	111	51

alphabet_35	116	44	122	51

alphabet_36	126	49	128	51

