frame_name	left	top	right	bottom
health_8_00	17	3007	137	3039

health_8_01	147	3007	267	3039

health_8_02	277	3007	396	3039

health_8_03	406	3007	525	3039

health_7_00	17	3054	129	3086

health_7_01	139	3054	251	3086

health_7_02	261	3054	372	3086

health_7_03	382	3054	493	3086

health_6_00	17	3101	121	3133

health_6_01	131	3101	235	3133

health_6_02	245	3101	348	3133

health_6_03	358	3101	461	3133

health_5_00	17	3148	113	3180

health_5_01	123	3148	219	3180

health_5_02	229	3148	324	3180

health_5_03	334	3148	429	3180

health_4_00	17	3195	105	3227

health_4_01	116	3195	204	3227

health_4_02	214	3195	301	3227

health_4_03	311	3195	398	3227

health_3_00	17	3242	97	3274

health_3_01	107	3242	187	3274

health_3_02	197	3242	276	3274

health_3_03	286	3242	365	3274

health_2_00	17	3289	88	3321

health_2_01	98	3289	169	3321

health_2_02	179	3289	251	3321

health_2_03	261	3289	333	3321

health_1_00	17	3336	80	3365

health_1_01	90	3336	153	3365

health_1_02	163	3336	227	3365

health_1_03	237	3335	301	3365

health_0_00	17	3380	65	3404
